"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2023","726.77","724.20","732.72","718.54","992.23K","0.53%"
"05/31/2023","722.93","727.07","730.03","713.28","1.35M","-0.73%"
"05/30/2023","728.26","743.13","747.13","725.55","1.41M","-1.04%"
"05/26/2023","735.93","716.65","742.31","715.64","2.35M","3.87%"
"05/25/2023","708.48","701.02","710.99","693.76","1.93M","6.25%"
"05/24/2023","666.79","668.06","670.84","661.18","1.16M","-2.15%"
"05/23/2023","681.45","690.85","693.38","678.85","958.82K","-2.46%"
"05/22/2023","698.64","690.86","699.60","688.83","856.00K","0.67%"
"05/19/2023","694.00","698.00","699.86","693.84","949.71K","-0.28%"
"05/18/2023","695.93","675.27","697.25","675.07","1.46M","3.79%"
"05/17/2023","670.50","656.99","671.40","652.77","1.16M","2.83%"
"05/16/2023","652.05","652.78","657.87","651.58","710.05K","-0.56%"
"05/15/2023","655.69","646.88","655.70","644.88","893.45K","1.26%"
"05/12/2023","647.51","649.34","651.00","642.10","375.39K","-0.41%"
"05/11/2023","650.19","650.78","652.28","645.15","560.67K","-1.06%"
"05/10/2023","657.14","654.38","660.40","651.90","813.71K","2.19%"
"05/09/2023","643.05","640.50","643.87","638.28","746.12K","-1.82%"
"05/08/2023","654.99","651.75","655.00","649.21","518.98K","0.72%"
"05/05/2023","650.32","636.68","654.22","633.90","801.54K","2.40%"
"05/04/2023","635.05","632.13","639.34","629.85","614.04K","0.05%"
"05/03/2023","634.74","633.94","644.65","630.72","582.90K","0.11%"
"05/02/2023","634.05","632.87","637.52","628.53","738.05K","-0.18%"
"05/01/2023","635.20","635.00","639.21","634.03","469.55K","-0.26%"
"04/28/2023","636.86","630.86","637.34","626.52","823.07K","1.21%"
"04/27/2023","629.24","621.76","631.30","612.77","1.13M","3.31%"
"04/26/2023","609.10","613.72","615.13","606.17","844.22K","0.55%"
"04/25/2023","605.76","626.47","626.47","605.76","1.40M","-3.45%"
"04/24/2023","627.38","640.83","641.31","626.93","1.43M","-1.12%"
"04/21/2023","634.47","635.51","637.14","627.80","982.05K","0.14%"
"04/20/2023","633.57","625.36","639.88","625.36","1.69M","1.60%"
"04/19/2023","623.60","624.76","627.95","616.88","2.27M","-3.07%"
"04/18/2023","643.33","644.69","648.27","636.76","910.26K","0.67%"
"04/17/2023","639.04","638.74","642.10","632.28","1.54M","-4.08%"
"04/14/2023","666.20","665.41","672.64","659.37","645.93K","0.12%"
"04/13/2023","665.41","662.33","670.88","659.85","1.12M","1.64%"
"04/12/2023","654.66","669.01","672.00","653.69","897.28K","-0.77%"
"04/11/2023","659.77","669.51","672.73","658.97","787.45K","-0.28%"
"04/10/2023","661.64","649.93","661.99","645.49","688.66K","0.69%"
"04/06/2023","657.12","658.30","665.20","655.32","679.60K","-1.02%"
"04/05/2023","663.90","663.66","664.78","657.31","850.43K","-0.71%"
"04/04/2023","668.68","675.88","681.60","666.06","877.94K","-0.79%"
"04/03/2023","673.99","674.80","675.74","667.39","657.23K","-0.99%"
"03/31/2023","680.71","675.09","683.18","673.63","681.62K","0.60%"
"03/30/2023","676.68","675.20","680.63","673.51","892.46K","2.66%"
"03/29/2023","659.12","649.57","665.17","648.47","1.10M","3.03%"
"03/28/2023","639.71","644.10","644.62","632.38","793.45K","-0.67%"
"03/27/2023","644.05","655.37","657.48","643.05","800.54K","-0.54%"
"03/24/2023","647.53","656.05","658.95","639.75","842.92K","-2.50%"
"03/23/2023","664.16","657.74","673.94","654.94","1.17M","3.72%"
"03/22/2023","640.37","643.00","661.40","639.54","955.49K","-0.27%"
"03/21/2023","642.13","651.71","655.83","635.20","848.74K","-0.65%"
"03/20/2023","646.33","646.30","648.33","639.10","935.59K","1.99%"
"03/17/2023","633.69","633.71","638.40","626.81","1.11M","0.50%"
"03/16/2023","630.56","600.75","631.02","598.99","1.06M","3.93%"
"03/15/2023","606.69","600.72","609.09","596.61","1.05M","-2.19%"
"03/14/2023","620.30","617.49","620.45","611.28","844.57K","2.57%"
"03/13/2023","604.78","593.12","612.97","589.89","967.13K","0.59%"
"03/10/2023","601.21","614.10","617.35","599.43","1.04M","-0.58%"
"03/09/2023","604.74","617.07","623.89","604.56","983.79K","-2.37%"
"03/08/2023","619.40","611.80","620.55","609.03","1.08M","1.69%"
"03/07/2023","609.11","619.35","621.74","605.30","1.03M","-1.91%"
"03/06/2023","620.97","627.32","633.11","619.85","1.40M","-2.57%"
"03/03/2023","637.38","625.35","637.67","621.77","1.02M","2.12%"
"03/02/2023","624.17","606.32","625.09","603.23","796.38K","1.50%"
"03/01/2023","614.95","621.07","623.12","611.96","794.30K","-0.45%"
"02/28/2023","617.73","612.45","625.25","610.14","1.38M","-2.27%"
"02/27/2023","632.08","631.41","639.37","626.26","804.64K","2.22%"
"02/24/2023","618.38","619.43","624.67","612.72","995.90K","-3.09%"
"02/23/2023","638.09","642.13","642.88","626.68","1.09M","2.22%"
"02/22/2023","624.21","632.56","635.40","620.43","1.02M","-0.88%"
"02/21/2023","629.78","638.01","643.94","629.53","1.02M","-3.40%"
"02/17/2023","651.93","650.75","657.99","647.39","1.15M","-0.66%"
"02/16/2023","656.28","658.70","668.20","655.45","946.26K","-3.03%"
"02/15/2023","676.81","661.82","677.48","661.00","684.20K","-0.10%"
"02/14/2023","677.48","661.71","680.98","657.21","1.01M","1.31%"
"02/13/2023","668.74","659.13","673.02","657.32","596.04K","1.89%"
"02/10/2023","656.35","653.09","657.17","648.64","731.82K","-1.17%"
"02/09/2023","664.13","673.12","682.28","662.02","686.51K","0.20%"
"02/08/2023","662.79","671.47","674.89","661.36","764.13K","-2.35%"
"02/07/2023","678.72","659.24","683.69","659.24","1.24M","2.53%"
"02/06/2023","661.97","665.92","669.34","659.49","783.29K","-2.60%"
"02/03/2023","679.62","678.45","693.38","677.93","1.02M","-2.43%"
"02/02/2023","696.55","696.90","698.59","684.95","1.32M","2.66%"
"02/01/2023","678.53","659.53","685.09","655.89","1.27M","2.68%"
"01/31/2023","660.84","651.22","660.86","647.30","801.83K","1.62%"
"01/30/2023","650.31","650.00","658.24","647.62","1.21M","-2.56%"
"01/27/2023","667.39","667.20","678.12","666.68","1.25M","-2.41%"
"01/26/2023","683.90","681.90","684.94","667.82","1.59M","0.35%"
"01/25/2023","681.53","656.96","683.02","655.02","1.57M","1.72%"
"01/24/2023","670.01","666.72","673.04","659.92","1.07M","-0.89%"
"01/23/2023","676.03","658.05","676.28","656.85","1.78M","4.19%"
"01/20/2023","648.85","638.09","650.60","634.20","1.03M","2.95%"
"01/19/2023","630.25","654.61","655.68","627.02","1.53M","-3.38%"
"01/18/2023","652.29","673.52","676.11","651.54","1.15M","-0.90%"
"01/17/2023","658.19","651.10","662.98","651.10","902.62K","-0.23%"
"01/13/2023","659.69","649.33","660.74","648.73","649.67K","1.09%"
"01/12/2023","652.56","651.44","656.28","634.84","1.32M","1.22%"
"01/11/2023","644.68","635.55","645.14","633.30","806.54K","1.78%"
"01/10/2023","633.39","622.63","633.78","621.61","873.87K","1.94%"
"01/09/2023","621.33","613.99","632.39","612.80","1.35M","4.28%"
"01/06/2023","595.85","575.33","598.68","567.28","1.03M","5.40%"
"01/05/2023","565.32","565.38","573.55","562.55","710.98K","-0.97%"
"01/04/2023","570.83","570.80","575.51","561.06","1.09M","3.87%"
"01/03/2023","549.57","561.28","564.15","545.77","675.33K","0.58%"
"12/30/2022","546.40","540.86","546.48","536.77","703.20K","-0.92%"
"12/29/2022","551.47","541.20","555.37","540.15","840.97K","3.73%"
"12/28/2022","531.64","536.70","541.80","529.01","609.89K","-1.03%"
"12/27/2022","537.18","546.05","546.50","536.51","802.57K","-2.57%"
"12/23/2022","551.37","546.87","552.07","542.53","602.76K","-0.82%"
"12/22/2022","555.95","571.05","571.05","546.80","1.35M","-4.30%"
"12/21/2022","580.96","569.06","583.96","567.30","797.74K","3.16%"
"12/20/2022","563.16","562.24","568.96","561.15","845.74K","-0.96%"
"12/19/2022","568.61","574.05","575.85","562.67","906.78K","-0.99%"
"12/16/2022","574.32","577.26","585.75","565.74","2.10M","-2.05%"
"12/15/2022","586.34","603.00","604.80","584.26","1.42M","-4.79%"
"12/14/2022","615.86","622.50","626.76","609.93","1.17M","-1.98%"
"12/13/2022","628.27","642.98","643.36","617.57","1.33M","3.00%"
"12/12/2022","609.99","596.87","610.00","595.80","819.56K","2.06%"
"12/09/2022","597.70","602.99","611.17","596.40","870.65K","-1.51%"
"12/08/2022","606.89","591.88","609.46","587.66","1.02M","0.92%"
"12/07/2022","601.35","592.21","604.00","590.69","878.63K","1.40%"
"12/06/2022","593.05","603.50","604.45","586.82","839.16K","-1.29%"
"12/05/2022","600.79","605.10","607.16","593.38","873.92K","-0.81%"
"12/02/2022","605.71","600.30","607.45","597.00","719.75K","-0.91%"
"12/01/2022","611.26","611.71","616.56","601.36","1.25M","0.52%"
